product_detail,transactions,qty,avg_price,revenue,cogs,profit,profit_margin
English Breakfast Rg,2743,4200,2.5,10500.0,3675.0,4767.75,0.45407142857142857
Espresso Roast,169,169,14.75,2492.75,872.4625,1493.5375000000001,0.5991525423728814
Espresso shot,2730,4165,3.0,12495.0,4373.249999999999,6074.250000000001,0.48613445378151265
Ethiopia,218,218,21.0,4578.0,1602.3,2812.2000000000003,0.6142857142857143
Ethiopia Lg,2741,4227,3.5,14794.5,5178.075,7560.675000000001,0.5110463347865761
Ethiopia Rg,2866,4393,3.0,13179.0,4612.65,6416.85,0.4868996130207148
Ethiopia Sm,2833,4433,2.2,9752.6,3413.41,4214.4400000000005,0.43213502040481516
Ginger Biscotti,1811,1836,3.505831032578686,6436.56,2574.6240000000003,2503.6859999999992,0.3889788955591184
Ginger Scone,2324,2540,3.183997418244406,8011.61,3204.6440000000002,3063.966,0.3824407328863986
Guatemalan Sustainably Grown,134,134,10.0,1340.0,469.0,770.5,0.575
Hazelnut Biscotti,2009,2028,3.258466898954704,6608.01,2643.204,2458.056,0.37198127726804286
Hazelnut syrup,1521,2372,0.7999999999999999,1897.6000000000001,853.9200000000001,-97.07,-0.05115408937605396
I Need My Bean! Diner mug,222,240,12.247747747747749,2935.0,1320.75,1447.75,0.4932708688245315
I Need My Bean! Latte cup,304,315,14.325657894736842,4509.0,2029.05,2251.9500000000003,0.4994344644045243
I Need My Bean! T-shirt,221,221,27.8868778280543,6163.0,2773.35,3223.9,0.5231056303748175
Jamacian Coffee River,146,146,19.75,2883.5,1009.2249999999999,1764.775,0.6120253164556962
Jamaican Coffee River Lg,2911,4395,3.75,16481.25,5768.4375,8529.5625,0.5175312855517634
Jamaican Coffee River Rg,2594,4018,3.1,12455.800000000001,4359.53,6150.77,0.4938077040414907
Jamaican Coffee River Sm,2630,4018,2.45,9844.1,3445.4350000000004,4426.165000000001,0.44962617202182026
Jumbo Savory Scone,2008,2028,3.7607669322709163,7626.62,3050.648,3069.972,0.4025337567624977
Latte,2990,4602,3.75,17257.5,6040.125,8974.875,0.5200564971751412
Latte Rg,2896,4497,4.25,19112.25,6689.287499999999,10250.962500000001,0.536355609622101
Lemon Grass,152,152,8.95,1360.3999999999999,476.13999999999993,770.26,0.5662011173184358
Lemon Grass Lg,2647,4089,3.0,12267.0,4293.449999999999,5988.300000000001,0.48816336512594777
Lemon Grass Rg,2792,4325,2.5,10812.5,3784.375,4934.125,0.45633526011560693
Morning Sunrise Chai,168,168,9.5,1596.0,558.5999999999999,911.4000000000001,0.5710526315789475
Morning Sunrise Chai Lg,2830,4346,4.0,17384.0,6084.4,9177.1,0.5279049700874368
Morning Sunrise Chai Rg,3026,4643,2.5,11607.5,4062.625,5275.375,0.45447986215808744
Oatmeal Scone,1812,1820,3.0,5460.0,2184.0000000000005,1916.9999999999998,0.3510989010989011
Organic Decaf Blend,206,206,22.609223300970875,4657.5,1630.1249999999998,2872.875,0.6168276972624799
Our Old Time Diner Blend,183,183,18.0,3294.0,1152.8999999999999,2003.85,0.6083333333333333
Our Old Time Diner Blend Lg,2664,3997,3.0,11991.0,4196.849999999999,5796.150000000001,0.48337503127345516
Our Old Time Diner Blend Rg,2894,4410,2.5,11025.0,3858.75,4995.75,0.45312925170068025
Our Old Time Diner Blend Sm,2919,4484,2.0,8968.0,3138.7999999999997,3639.9500000000003,0.40588202497769854
Ouro Brasileiro shot,2222,3262,2.696219621962196,8902.2,3115.7699999999995,4119.93,0.46279908337264947
Peppermint,153,153,8.95,1369.35,479.2724999999999,775.3275,0.5662011173184358
Peppermint Lg,2857,4350,3.0,13050.0,4567.499999999999,6339.750000000001,0.4858045977011495
Peppermint Rg,2949,4564,2.5,11410.0,3993.5,5204.75,0.45615687992988607
Primo Espresso Roast,150,150,20.45,3067.5,1073.6249999999998,1881.375,0.6133251833740831
Scottish Cream Scone ,1952,1985,4.5086834016393444,8949.45,3579.78,3905.6700000000005,0.43641452826710025
Serenity Green Tea,159,159,9.25,1470.75,514.7624999999999,836.7375000000001,0.568918918918919
Serenity Green Tea Lg,2750,4220,3.0,12660.0,4430.999999999999,6166.500000000001,0.4870853080568721
Serenity Green Tea Rg,2921,4477,2.5,11192.5,3917.375,5084.375,0.45426624972079516
Spicy Eye Opener Chai,122,122,10.95,1335.8999999999999,467.56499999999994,776.8349999999999,0.5815068493150685
Spicy Eye Opener Chai Lg,2951,4404,3.1,13652.4,4778.34,6660.81,0.48788564647973987
Spicy Eye Opener Chai Rg,2705,4171,2.55,10636.05,3722.6174999999994,4884.6825,0.45925719604552445
Sugar Free Vanilla syrup,1811,2905,0.8000000000000002,2324.0,1045.8000000000002,-80.05,-0.03444492254733218
Sustainably Grown Organic,221,221,7.6,1679.6,923.78,590.0699999999999,0.3513157894736842
Sustainably Grown Organic Lg,2961,4453,4.75,21151.75,9518.2875,9412.7125,0.4450086872244613
Sustainably Grown Organic Rg,2842,4329,3.75,16233.75,7305.1875,6797.0625,0.4186994686994687
Traditional Blend Chai,153,153,8.95,1369.35,479.2724999999999,775.3275,0.5662011173184358
Traditional Blend Chai Lg,2716,4174,3.0,12522.0,4382.699999999999,6102.300000000001,0.4873263057019646
Traditional Blend Chai Rg,2955,4512,2.5,11280.0,3948.0,5115.75,0.45352393617021275
